@relation pendigits
@attribute 'a1' integer
@attribute 'a2' integer 
@attribute 'a3' integer 
@attribute 'a4' integer
@attribute 'a5' integer 
@attribute 'a6' integer 
@attribute 'a7' integer
@attribute 'a8' integer 
@attribute 'a9' integer 
@attribute 'a10' integer
@attribute 'a11' integer 
@attribute 'a12' integer 
@attribute 'a13' integer
@attribute 'a14' integer 
@attribute 'a15' integer 
@attribute 'a16' integer 
@attribute class {3, 8, 9}

@data
 47,100, 27, 81, 57, 37, 26,  0,  0, 23, 56, 53,100, 90, 40, 98, 8
 74, 87, 31,100,  0, 69, 62, 64,100, 79,100, 38, 84,  0, 18,  1, 9
 48, 96, 62, 65, 88, 27, 21,  0, 21, 33, 79, 67,100,100,  0, 85, 8
 91, 74, 54,100,  0, 87, 23, 59, 81, 67,100, 39, 79,  4, 21,  0, 9
 35, 76, 57,100,100, 92, 68, 66, 81, 38, 82,  9, 32,  0,  0, 17, 3
 50, 84, 66,100, 75, 75, 51, 51,100, 42, 97, 13, 49,  0,  0,  7, 3
 99, 80, 63,100, 25, 76, 79, 68,100, 62, 97, 23, 54,  0,  0, 16, 9
 73, 62, 53,100,  0, 72, 82, 39,100,  0, 15, 14, 52, 57, 90, 94, 8
 61, 59, 58,100,  0, 84, 44, 42, 80,  0,  8,  5, 33, 44,100, 70, 8
 32, 59, 53,100,100, 95, 79, 46, 48,  0, 93, 19, 58, 55,  0, 63, 8
  0,  0, 31, 15, 63, 30, 88, 52,100, 79, 82,100, 56, 82, 79, 64, 9
 30, 86, 67,100, 77, 77, 53, 50, 78, 40,100, 17, 56,  0,  0,  5, 3
 64, 93,  0, 67, 97, 67, 89,100, 14, 70,100, 68, 96, 36, 28,  0, 9
  0, 83, 29,100, 88, 95, 64, 69, 73, 43,100, 13, 50,  1, 10,  0, 3
  5, 90, 46, 98, 89,100,100, 81, 77, 59, 62, 34, 37, 14,  0,  0, 3
 47, 86, 73,100, 89, 75, 68, 49,100, 28, 82,  4, 38,  0,  0, 13, 3
 11, 92, 56,100, 83, 82, 52, 59, 87, 39,100, 14, 55,  0,  0,  0, 3
 20, 82, 62,100,100, 81, 68, 54, 82, 50, 89, 19, 42,  0,  0, 13, 3
 57, 63,100,100,  0, 91, 36, 53, 95, 16,  2,  0,  5, 36, 91, 67, 8
  0, 84, 50,100, 72, 79, 37, 52, 51, 41,100, 27, 62,  3,  3,  0, 3
100, 79, 67,100, 26, 76, 41, 38, 47,  0,  0,  8, 38, 38, 96, 58, 8
 94, 79, 40,100, 13, 65, 59, 30, 67,  0,  0, 17, 45, 52,100, 83, 8
  0, 82, 75, 56,100, 12, 22,  0, 22, 41, 92, 73, 84,100,  2, 80, 8
 80,100, 36,100, 58, 80, 65, 82, 82, 47,100, 14, 53,  0,  0,  7, 9
 90, 71,100,100, 25, 85, 10, 50, 80, 62, 99, 53, 64, 17,  0,  0, 9
 26, 79, 69,100, 92, 85, 56, 56, 90, 42,100, 15, 51,  0,  0,  2, 3
  8, 77, 47,100,100, 96, 71, 66,100, 46, 99, 13, 46,  0,  0, 13, 3
 95, 92, 50,100, 21, 77, 74, 87,100, 86, 69, 56, 37, 26,  0,  0, 9
 40, 72, 16, 50, 96, 69, 70,100,  0, 73, 65, 57,100, 47, 94,  0, 9
 20, 85, 62,100, 71, 72, 45, 52, 98, 47,100, 17, 53,  0,  0,  0, 3
 42, 83, 60, 53, 89, 11, 13,  0,  0, 33, 77, 57,100, 92, 18,100, 8
 38, 94, 90,100, 94, 79, 59, 57, 68, 33,100, 12, 54,  0,  0,  1, 3
  0, 88, 24, 68, 76, 33, 43,  0, 29, 32, 84, 66,100,100,  8, 89, 8
 50, 97, 72, 68,100,100, 42, 86, 93, 72, 89, 48, 70,  7,  0,  0, 9
 37,100, 48, 57, 74, 97, 27, 97, 80, 68,100, 26, 49,  0,  0, 22, 9
100, 89, 40, 83, 63, 40, 84,  0,  0,  7, 53, 53, 80,100,  3, 78, 8
 52, 91, 72,100, 87, 70, 57, 43,100, 45, 90, 15, 43,  0,  0, 12, 3
 96,100, 52, 95, 48, 76, 96, 98,100, 85, 71, 54, 39, 25,  0,  0, 9
 53, 87, 32, 47, 98, 64, 69,100, 58, 69,100, 61, 71,  3,  0,  0, 9
100, 88, 69,100, 20, 84, 70, 86, 93, 71, 70, 44, 38, 19,  0,  0, 9
  2, 78, 46, 99,100,100, 77, 76, 94, 38, 94,  0, 41,  3,  0, 28, 3
 13, 80, 53, 71,100,100, 23, 99,  0, 71, 81, 74, 74, 40, 47,  0, 9
  0, 79, 51, 59,100, 29, 51,  0, 22, 26, 51, 60, 73, 94,  9,100, 8
 37, 84, 69,100, 96, 87, 55, 61, 88, 38,100,  9, 51,  0,  0,  3, 3
  0, 59, 77, 74,100,100, 17, 93,  7, 71, 82, 68, 45, 35, 20,  0, 9
 21, 75, 40,100, 85, 94, 67, 63,100, 43, 95, 11, 47,  0,  0, 13, 3
 54, 93,  0, 88, 54, 46, 70,  0,  5,  9, 54, 52,100, 96,  7,100, 8
 46, 83, 87,100,100, 79, 75, 54, 90, 36,100, 13, 49,  0,  0, 12, 3
 88, 99, 45, 82, 78, 75, 90,100,100, 68, 93, 36, 59,  9,  0,  0, 9
 19, 73, 54, 91,100,100, 99, 78, 86, 52, 78, 26, 43,  8,  0,  0, 3
 79, 74, 21, 67, 15, 92, 71,100,100, 75, 73, 45, 36, 18,  0,  0, 9
 19, 86, 35, 72, 95, 94,  0,100, 60, 78,100, 52, 67, 26, 26,  0, 9
 83, 86, 44,100,  0, 74, 58, 67,100, 94, 89, 63, 77, 31, 75,  0, 9
 89, 87, 38,100, 17, 78, 80, 77,100, 76, 92, 34, 61,  0,  0,  4, 9
 58,100,  0, 89, 44, 53,100, 21, 63,  0, 62, 36, 87, 80, 25, 91, 8
 36, 90, 86,100, 87, 73, 47, 49, 92, 44,100, 16, 53,  0,  0,  1, 3
 78, 85, 65, 66,100, 25, 49,  0, 15, 29, 58, 67, 66,100,  0, 84, 8
 84, 93, 20,100, 22, 50, 44,  0,  0, 22, 54, 59,100, 95, 27, 97, 8
 44, 80, 80,100,100, 85, 72, 59, 92, 38, 93, 14, 49,  3,  0,  0, 3
