@relation example1

@attribute a1 real
@attribute a2 real
@attribute class {1,2}

@data

2.354085,6.741037,1
2.439645,4.474348,1
0.408830,-1.916475,1
0.480244,4.600704,1
1.461815,0.703572,1
0.755285,2.623317,1
0.536307,2.113313,1
2.282795,-0.676078,1
2.060984,1.781395,1
0.652924,1.163085,1
1.690116,3.206094,1
0.859806,2.324520,1
1.379158,0.894168,1
1.362048,3.760835,1
0.629716,6.139786,1
0.338852,-2.594251,1
1.578314,5.525009,1
0.480859,4.160454,1
0.912318,0.693973,1
0.545437,2.192355,1
1.107334,0.851284,1
1.769886,1.459622,1
0.803990,0.126357,1
0.154124,2.804934,1
0.559695,0.482931,1
0.743820,4.089400,1
1.690017,-0.443695,1
1.485715,1.825015,1
1.102935,-3.081514,1
0.832334,0.072009,1
1.440800,1.141385,1
0.855774,-2.140660,1
2.422416,2.183475,1
1.665796,-1.774255,1
0.942022,0.231516,1
2.016997,-1.850460,1
0.697494,2.502400,1
-0.357591,-5.331581,1
-1.072351,1.264262,1
-1.425920,5.785593,1
-3.197979,0.908035,1
-0.727565,1.963223,1
0.694540,4.659107,1
0.600762,2.456575,1
1.939196,2.238033,1
2.150742,-0.252855,1
1.637778,2.192746,1
1.129827,-0.299767,1
0.794227,5.665891,1
0.648011,-1.713465,1
-0.815742,0.008231,1
0.368141,1.384338,1
-0.460864,1.391452,1
2.044729,-1.811936,1
1.403780,-3.495239,1
1.867106,0.572677,1
-0.729767,1.793355,1
-0.278168,5.925881,1
1.687531,3.476302,1
0.412065,-1.401241,1
0.401768,-0.524532,1
2.479716,3.744428,1
0.517402,1.352819,1
0.709404,3.077889,1
1.843327,-4.132521,1
3.300933,-2.070232,1
1.156364,-1.417218,1
1.576256,2.565785,1
1.320660,0.705175,1
0.921135,3.253729,1
0.095617,6.400582,1
1.750328,-0.739816,1
1.774279,7.431457,1
0.720599,2.451542,1
0.275498,3.449947,1
1.421995,0.152733,1
0.251105,-3.885270,1
-0.092840,-3.164349,1
-0.013466,-4.676174,1
0.707858,-7.164304,1
2.265085,3.049847,1
-0.225762,1.705618,1
1.081623,1.029603,1
0.903250,-0.455457,1
0.406095,-0.670049,1
1.555543,0.037885,1
1.053033,-5.454123,1
0.867725,2.475867,1
0.874126,2.162031,1
2.236662,-3.281200,1
1.948388,3.189343,1
0.326662,3.867744,1
0.137148,3.879964,1
1.585456,0.964708,1
1.812295,-0.823513,1
1.654582,0.480410,1
1.210609,2.603242,1
-0.524529,3.318095,1
-0.341042,1.012809,1
2.516847,3.178002,1
0.545275,1.999638,1
1.161123,3.424923,1
1.695409,1.229919,1
1.517036,0.403089,1
1.403457,-0.192557,1
-0.268320,-1.285270,1
2.299621,2.220633,1
0.940819,1.295316,1
1.017914,3.728034,1
1.498569,-0.590265,1
0.709291,-2.587192,1
-0.986302,5.169162,1
0.951615,1.623615,1
1.086280,0.326623,1
-0.321574,-1.575914,1
1.511439,2.751174,1
-0.328676,-2.018908,1
0.307581,0.233266,1
2.503376,-0.649135,1
3.636111,2.795254,1
0.884864,-0.036848,1
4.417088,2.776900,1
3.331085,0.135870,1
-0.190072,-2.440327,1
1.360158,6.219290,1
0.049180,3.049226,1
2.920548,-1.687973,1
-0.145249,1.348053,1
1.387126,-0.684053,1
0.092447,2.098630,1
-0.640512,6.472914,1
1.776343,4.209124,1
2.863160,-1.162863,1
-0.231415,0.583412,1
0.760831,0.126681,1
0.196016,5.135852,1
1.350498,-0.049318,1
0.821083,1.208987,1
-0.084664,-3.153210,1
-0.001746,-1.437781,1
1.363083,1.772916,1
2.073744,-0.721625,1
-0.456099,3.058320,1
1.221307,5.745082,1
0.588063,4.690563,1
0.839560,-2.772243,1
1.306128,3.232850,1
2.415195,-0.290638,1
1.410240,1.350787,1
1.134743,1.746046,1
0.220259,3.548265,1
-0.255709,4.163986,1
0.934709,3.622955,1
-0.163555,0.543791,1
0.844047,3.236200,1
0.923439,1.531237,1
2.423873,1.659897,1
0.863358,4.472228,1
-0.368539,3.948222,1
0.941532,1.710400,1
0.083134,3.125573,1
2.729973,4.127626,1
0.443356,-0.179934,1
0.655748,1.047368,1
-0.520492,2.323285,1
0.111882,-0.009205,1
1.243080,1.870538,1
1.688815,1.720303,1
1.354738,0.340748,1
3.203618,-1.253302,1
-0.350044,2.832720,1
2.221707,2.919641,1
0.915375,-1.637960,1
2.163810,0.176358,1
2.509204,-1.814098,1
1.697665,-0.851213,1
1.129314,4.505217,1
1.799072,2.918483,1
2.221471,1.791833,1
0.991449,3.804041,1
1.742114,4.770647,1
0.513416,4.220393,1
-0.150248,1.502151,1
1.954625,-2.814591,1
1.448271,2.124350,1
0.060209,0.069058,1
-1.293359,3.562890,1
0.469630,2.091244,1
0.585625,2.946267,1
1.605365,4.408156,1
-0.797579,2.913676,1
3.179102,-3.660845,1
0.342203,0.096320,1
1.251203,0.627935,1
2.179655,2.852010,1
1.168828,6.613991,1
1.443152,3.281787,1
0.517146,5.619076,1
-1.134902,3.464396,1
-0.353661,-2.771968,1
0.243127,2.129782,1
-0.193934,3.013182,1
1.389344,-3.909155,1
0.594453,-1.987992,1
-0.566641,12.117676,1
1.308471,7.149775,1
1.242218,1.981251,1
1.572391,3.895370,1
0.068985,0.349546,1
1.898831,2.199857,1
0.681960,0.059669,1
0.400771,1.241236,1
1.262042,0.401239,1
1.444181,-2.846977,1
0.454128,1.813565,1
-0.084579,3.239092,1
1.585535,6.097413,1
0.965437,0.543314,1
-0.139333,3.203032,1
1.886146,2.926852,1
0.037802,-2.857357,1
1.213692,-1.356727,1
0.645028,-0.687765,1
0.647154,3.594020,1
1.792543,-3.571975,1
2.155961,2.488777,1
0.485382,2.976124,1
3.028207,6.398600,1
2.357685,1.181203,1
0.391422,-1.992818,1
-1.366249,7.767675,1
-0.007181,4.911005,1
0.897741,0.899569,1
1.861486,4.866208,1
2.227828,2.948180,1
2.067413,-3.412904,1
0.325672,2.154038,1
0.615414,3.914085,1
1.028415,5.957103,1
1.480407,2.921735,1
1.022593,-0.315460,1
2.529729,1.874521,1
1.084014,0.714909,1
1.194871,-3.400140,1
0.688665,-1.297369,1
1.566531,-0.276567,1
1.560599,0.898449,1
1.198823,3.523046,1
-0.236580,3.798784,1
2.095199,1.862238,1
0.685771,-3.171019,1
1.120439,1.193242,1
0.443707,2.800266,1
2.839208,2.707531,1
1.426039,-0.405638,1
0.416277,-0.260419,1
0.188253,-4.260581,1
0.123936,-4.161239,1
0.780391,2.291245,1
1.506397,2.507554,1
1.598042,-3.485089,1
0.398448,-0.464757,1
1.517234,5.111756,1
0.315025,2.857187,1
2.278408,-1.268260,1
2.841414,0.976486,1
-0.358669,2.260224,1
3.071942,-1.858121,1
0.280129,2.205627,1
1.450208,-2.530164,1
0.503482,0.117545,1
0.507308,1.713242,1
-0.004496,-1.717644,1
-0.081576,1.211177,1
0.179552,-2.196937,1
1.578975,-2.181119,1
0.546127,1.265708,1
2.900536,-2.618201,1
0.270322,0.819651,1
-1.116926,-1.449829,1
-0.316027,0.552702,1
-0.140537,3.124758,1
1.708236,4.515655,1
3.122105,2.917125,1
1.817927,-1.247796,1
-1.258445,2.575123,1
0.389572,5.044462,1
1.445135,-0.372828,1
1.566549,-2.884501,1
1.433793,2.538123,1
2.269087,-0.297163,1
0.684294,0.539914,1
1.113718,2.441447,1
0.106661,0.129644,1
2.251560,-0.288725,1
2.503122,4.167356,1
1.689885,0.374428,1
-0.444314,-0.248569,1
-0.733494,-1.861223,1
1.931659,2.469890,1
-1.257703,2.923675,1
1.488284,2.685317,1
1.895718,4.653340,1
1.462455,-1.166295,1
-0.142416,8.535004,1
1.639254,0.529967,1
2.220855,2.756458,1
1.146034,3.379143,1
1.431635,3.400232,1
1.753171,0.335935,1
3.534958,-3.058416,1
2.014191,1.596203,1
-1.155186,1.649226,1
1.066673,2.494857,1
2.191505,-3.338640,1
0.041465,-2.931567,1
0.035521,-0.541733,1
0.786381,3.550897,1
0.606409,-0.647877,1
0.467456,-0.257344,1
0.932902,4.063558,1
0.421633,6.244516,1
0.603015,-0.294444,1
1.082199,-1.856502,1
1.417165,4.455065,1
0.892211,0.738392,1
-0.135704,0.642852,1
-0.600323,10.869081,1
2.249995,-2.957256,1
0.199945,-0.772857,1
0.978872,-1.052626,1
1.506117,-0.166206,1
1.488385,3.524628,1
-0.671220,0.388280,1
-0.925907,-0.760361,1
2.506051,1.634048,1
0.924129,5.357639,1
1.511020,-0.299093,1
0.218484,4.126115,1
2.756395,5.563583,1
1.874766,-5.129723,1
1.244219,2.259115,1
1.347278,2.402242,1
3.469326,4.133841,1
1.486210,-1.802548,1
0.092198,2.157849,1
-0.543442,-1.884920,1
-0.117582,-3.024806,1
1.712042,3.891132,1
1.006690,-0.134532,1
0.453863,-1.319784,1
1.665975,2.889644,1
-0.289167,-0.595885,1
1.371429,1.847435,1
-0.156470,-1.800870,1
2.517973,0.551789,1
1.458921,-2.203446,1
0.920629,0.479192,1
1.025109,1.791254,1
1.843450,5.781444,1
2.299944,0.004963,1
-0.781313,0.853602,1
1.002846,-2.120628,1
2.002787,1.065939,1
1.442872,-1.075255,1
2.077990,8.861085,1
1.149036,-2.719726,1
1.123052,-3.062451,1
1.005952,2.255090,1
2.275797,-1.079700,1
2.071657,-1.888044,1
1.662266,0.118485,1
-0.006255,2.577301,1
1.131592,1.426138,1
1.654313,-1.251788,1
0.008075,0.199121,1
1.016731,-3.614624,1
2.392879,-3.571788,1
0.552660,1.797649,1
0.258632,2.797080,1
0.949773,-4.858188,1
1.051896,2.343662,1
2.652831,1.054493,1
2.744901,0.080077,1
0.371863,-1.410443,1
-0.771789,-2.285387,1
1.440520,1.339031,1
2.387568,1.415327,1
2.624282,3.142834,1
-0.898168,-0.086332,1
0.059109,-3.202984,1
-0.046354,6.796831,1
1.969211,1.455173,1
2.495797,2.625008,1
0.826399,-1.384624,1
1.699926,6.310940,1
0.617037,1.542096,1
2.002856,1.985029,1
0.223402,-3.812857,1
2.336632,2.617197,1
0.195103,4.060081,1
1.388686,0.398692,1
-0.266427,-3.818258,1
2.245246,3.976498,1
0.746573,2.553842,1
-0.289082,3.027491,1
2.340662,2.888959,1
0.622280,5.772468,1
1.120710,6.667391,1
0.569916,-1.448968,1
-0.306522,3.241587,1
0.602953,-2.339013,1
3.178775,0.777782,1
1.046453,10.614193,1
0.216672,0.648539,1
1.129997,-1.415781,1
2.025603,-0.224776,1
1.976983,-0.466011,1
-0.039360,2.330274,1
0.783485,-0.474232,1
