@relation example2

@attribute a1 real
@attribute a2 real
@attribute a3 real
@attribute class {1,2}

@data

0.064766,-1.065756,2.519191,1
0.680937,-3.823402,1.491254,1
0.812471,-0.668470,0.600714,1
2.131804,-2.138418,-0.069606,1
-0.390627,3.968437,1.265033,1
0.371202,3.229840,0.362399,1
2.512897,4.229578,0.619850,1
1.085412,3.646243,-0.029492,1
1.378961,-0.411223,0.193112,1
0.104168,3.543050,1.458144,1
0.737869,4.840275,1.622275,1
0.868305,-0.760499,-0.462325,1
1.123331,-0.791369,0.679554,1
1.678844,4.408223,0.387993,1
0.764242,-1.175402,1.966933,1
0.912117,1.505381,0.271388,1
0.448080,3.353427,2.165353,1
0.075709,2.393353,0.091493,1
0.508349,-2.254074,1.361359,1
1.686494,0.767997,1.757989,1
0.325748,-2.190290,0.985915,1
1.927816,0.097840,-0.831318,1
1.392211,-0.965493,1.260527,1
1.191358,1.688078,0.338624,1
3.628293,4.524389,-0.342746,1
0.262345,0.451484,0.779381,1
0.493370,-0.506955,1.606840,1
-0.476945,4.337326,-0.564887,1
0.729504,2.908766,0.916559,1
-0.465724,9.537550,2.160173,1
2.422205,-0.680707,2.964453,1
0.425878,0.324286,-0.689088,1
-0.601567,2.921415,1.981083,1
1.863897,-3.392238,3.162120,1
3.112096,0.154665,1.415844,1
-0.106776,6.681961,1.171005,1
-0.188173,-2.985411,1.914964,1
0.882860,1.361606,0.336150,1
0.867116,1.202670,0.593774,1
1.836048,3.194921,1.210225,1
1.099208,1.314845,0.023474,1
1.038374,-1.151566,-0.617223,1
0.750151,-4.490375,0.543329,1
0.151936,4.641068,0.418840,1
-0.374990,-1.645187,0.646405,1
2.040266,-1.524366,1.935872,1
-0.637044,2.671497,0.865411,1
1.002970,2.784173,1.754007,1
-1.096960,5.982194,0.598542,1
1.392835,1.353510,1.959875,1
1.223613,0.190767,2.122218,1
1.428566,-1.088490,0.256717,1
1.990791,1.837874,1.063865,1
0.026415,-1.222913,1.644872,1
0.852144,-1.963585,2.497772,1
1.164886,-3.844794,1.029386,1
1.470699,-1.008133,0.695958,1
0.700489,1.149471,1.343008,1
0.065744,1.344378,2.943989,1
0.175210,-2.433950,1.557292,1
-0.437466,7.968324,0.568942,1
2.753497,3.445435,0.825819,1
0.841006,1.604790,2.296058,1
0.446246,4.587513,0.781604,1
2.044046,-3.791609,1.592831,1
2.543029,3.948323,2.299991,1
0.340043,3.883847,1.084715,1
0.333700,4.735399,0.876857,1
0.760301,3.426699,1.092148,1
1.476025,2.983199,0.762572,1
1.577721,-0.678743,1.480146,1
0.624284,-1.942105,1.434181,1
0.041645,-2.951053,0.846840,1
0.903271,3.364053,1.594487,1
0.217630,3.071086,0.683407,1
2.451197,-0.477276,1.687608,1
0.517882,1.265028,1.873755,1
0.858274,10.405596,0.926178,1
1.668155,-3.330814,0.964777,1
1.850054,-2.613228,-0.237562,1
1.366270,-0.467223,0.774004,1
0.675908,-3.757101,1.338077,1
0.630968,1.605756,1.191932,1
0.764593,-1.843768,2.063450,1
0.791893,-0.232014,0.664073,1
-1.066667,0.819321,-0.354668,1
0.386967,3.136117,-1.334371,1
2.058780,-5.146879,1.217629,1
1.947319,2.518672,1.744821,1
1.274982,2.313561,1.715923,1
0.593918,-3.037206,0.019740,1
1.746648,1.980394,1.078399,1
0.601635,2.688843,1.588753,1
0.982313,7.953713,1.585475,1
1.995636,2.290158,1.000706,1
-0.278025,-4.026361,1.451305,1
0.992978,0.702502,3.167088,1
1.053622,-2.815522,0.227719,1
1.134445,4.316746,-0.196730,1
0.757795,-3.300974,0.526326,1
-0.614612,0.708568,1.506677,1
0.438190,4.793402,1.281892,1
2.160650,0.507234,-0.752594,1
0.397197,0.180926,-0.493008,1
0.269980,-2.676992,-0.146852,1
1.787031,5.714909,0.652397,1
1.906452,-1.104851,1.011053,1
3.353617,-0.377267,-0.263826,1
-0.749211,-3.241781,0.431671,1
1.555651,-0.543096,0.633784,1
2.574186,-1.203327,2.496870,1
1.665834,6.740165,1.797819,1
2.551709,-3.439654,0.126699,1
2.515912,3.028193,1.855790,1
1.695335,0.356928,1.510821,1
0.771867,-2.434976,1.826634,1
