@relation iris-weka.filters.unsupervised.attribute.UnitVector

@attribute sepallength numeric
@attribute sepalwidth numeric
@attribute petallength numeric
@attribute petalwidth numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data

0.803773,0.551609,0.220644,0.031521,Iris-setosa
0.828133,0.50702,0.236609,0.033801,Iris-setosa
0.805333,0.548312,0.222752,0.034269,Iris-setosa
0.80003,0.539151,0.260879,0.034784,Iris-setosa
0.790965,0.569495,0.22147,0.031639,Iris-setosa
0.784175,0.566349,0.24687,0.058087,Iris-setosa
0.780109,0.576603,0.237425,0.050877,Iris-setosa
0.802185,0.545486,0.240655,0.032087,Iris-setosa
0.806424,0.531507,0.256589,0.036656,Iris-setosa
0.818031,0.51753,0.250418,0.016695,Iris-setosa
0.803735,0.550707,0.22326,0.029768,Iris-setosa
0.786991,0.557452,0.26233,0.032791,Iris-setosa
0.823072,0.51442,0.240063,0.017147,Iris-setosa
0.802513,0.559893,0.205294,0.018663,Iris-setosa
0.811209,0.559454,0.167836,0.027973,Iris-setosa
0.773811,0.597328,0.203635,0.054303,Iris-setosa
0.794289,0.573653,0.191218,0.058836,Iris-setosa
0.803274,0.551267,0.220507,0.047251,Iris-setosa
0.806828,0.537885,0.240633,0.042465,Iris-setosa
0.779649,0.580915,0.229308,0.045862,Iris-setosa
0.817338,0.51462,0.25731,0.030272,Iris-setosa
0.785919,0.570176,0.231153,0.061641,Iris-setosa
0.775771,0.607125,0.168646,0.033729,Iris-setosa
0.805978,0.521515,0.268659,0.079017,Iris-setosa
0.776114,0.549747,0.307212,0.032338,Iris-setosa
0.826475,0.495885,0.264472,0.033059,Iris-setosa
0.797782,0.542492,0.25529,0.063823,Iris-setosa
0.80642,0.542782,0.232621,0.031016,Iris-setosa
0.816094,0.5336,0.219718,0.031388,Iris-setosa
0.795241,0.54144,0.27072,0.03384,Iris-setosa
0.808466,0.522134,0.269489,0.033686,Iris-setosa
0.82225,0.517713,0.228403,0.060907,Iris-setosa
0.765783,0.603791,0.220899,0.014727,Iris-setosa
0.778674,0.594624,0.198208,0.028315,Iris-setosa
0.818031,0.51753,0.250418,0.016695,Iris-setosa
0.825123,0.528079,0.19803,0.033005,Iris-setosa
0.826998,0.526271,0.195472,0.030073,Iris-setosa
0.818031,0.51753,0.250418,0.016695,Iris-setosa
0.802124,0.546903,0.236991,0.03646,Iris-setosa
0.807796,0.53853,0.237587,0.031678,Iris-setosa
0.800333,0.560233,0.208087,0.04802,Iris-setosa
0.860939,0.440035,0.248716,0.057396,Iris-setosa
0.78609,0.571702,0.232254,0.035731,Iris-setosa
